Breed;Color;"Age in 
Weeks";Livability;HH % Production;Min HD % Production;HD % Production;Max HD % Production;"EHH week
";EHH cum;% Hatching Eggs;HE week;HE cum;total % Hatch;saleable % Hatch;Saleable Chicks week;Saleable Chicks Cum;Egg weight week;;;;;;;
Lohmann Pink;Tint;29;99,3%;93,6;91,4;94,2;97,0;6,6;47,3;95;6,2;35,4;87,3;42,6;2,65;14,4;57,7;;;;;;;
Lohmann Pink;Tint;30;99,2%;93,6;91,5;94,3;97,1;6,6;53,8;96;6,3;41,7;87,7;42,7;2,68;17,1;58,2;;;;;;;
Lohmann Pink;Tint;31;99,1%;93,5;91,5;94,3;97,2;6,5;60,4;96;6,3;48,0;87,9;42,8;2,69;19,8;58,6;;;;;;;
Lohmann Pink;Tint;32;99,1%;93,4;91,5;94,3;97,2;6,5;66,9;96;6,3;54,3;88,1;42,9;2,69;22,5;58,9;;;;;;;
Lohmann Pink;Tint;33;99,0%;93,4;91,5;94,4;97,2;6,5;73,4;96;6,3;60,5;88,2;43,0;2,70;25,2;59,1;;;;;;;
Lohmann Pink;Tint;34;98,9%;93,3;91,5;94,3;97,2;6,5;80,0;96;6,3;66,8;88,3;43,1;2,70;27,9;59,4;;;;;;;
Lohmann Pink;Tint;35;98,8%;93,2;91,5;94,3;97,2;6,5;86,5;96;6,3;73,1;88,4;43,1;2,70;30,6;59,6;;;;;;;
Lohmann Pink;Tint;36;98,7%;93,0;91,4;94,3;97,1;6,5;93,0;96;6,3;79,3;88,4;43,1;2,69;33,3;59,8;;;;;;;
Lohmann Pink;Tint;37;98,6%;92,9;91,4;94,2;97,0;6,5;99,5;96;6,2;85,6;88,4;43,1;2,69;36,0;60,0;;;;;;;
Lohmann Pink;Tint;38;98,5%;92,7;91,3;94,1;97,0;6,5;106,0;96;6,2;91,8;88,3;43,0;2,68;38,6;60,1;;;;;;;
Lohmann Pink;Tint;39;98,3%;92,5;91,2;94,0;96,8;6,5;112,4;96;6,2;98,0;88,3;43,0;2,67;41,3;60,2;;;;;;;
Lohmann Pink;Tint;40;98,2%;92,3;91,1;93,9;96,7;6,5;118,9;96;6,2;104,2;88,1;43,0;2,66;44,0;60,3;;;;;;;
Lohmann Pink;Tint;41;98,1%;92,1;91,0;93,8;96,6;6,4;125,4;96;6,2;110,4;88,0;42,9;2,65;46,6;60,4;;;;;;;
Lohmann Pink;Tint;42;98,0%;91,8;90,9;93,7;96,5;6,4;131,8;96;6,1;116,5;87,9;42,9;2,64;49,2;60,5;;;;;;;
Lohmann Pink;Tint;43;97,9%;91,6;90,8;93,6;96,4;6,4;138,2;96;6,1;122,6;87,8;42,8;2,62;51,9;60,6;;;;;;;
Lohmann Pink;Tint;44;97,7%;91,3;90,6;93,4;96,2;6,4;144,6;95;6,1;128,7;87,7;42,7;2,61;54,5;60,6;;;;;;;
Lohmann Pink;Tint;45;97,6%;91,1;90,5;93,3;96,1;6,4;151,0;95;6,1;134,8;87,5;42,6;2,59;57,1;60,6;;;;;;;
Lohmann Pink;Tint;46;97,5%;90,8;90,3;93,1;95,9;6,4;157,3;95;6,1;140,9;87,2;42,5;2,57;59,6;60,7;;;;;;;
Lohmann Pink;Tint;47;97,3%;90,5;90,2;93,0;95,7;6,3;163,6;95;6,0;146,9;86,9;42,3;2,55;62,2;60,7;;;;;;;
Lohmann Pink;Tint;48;97,2%;90,2;90,0;92,8;95,5;6,3;170,0;95;6,0;152,9;86,5;42,2;2,53;64,7;60,7;;;;;;;
Lohmann Pink;Tint;49;97,1%;89,8;89,8;92,6;95,3;6,3;176,2;95;6,0;158,9;86,1;41,9;2,50;67,2;60,7;;;;;;;
Lohmann Pink;Tint;50;96,9%;89,5;89,6;92,3;95,1;6,3;182,5;95;5,9;164,8;85,6;41,7;2,47;69,7;60,7;;;;;;;
Lohmann Pink;Tint;51;96,8%;89,1;89,4;92,1;94,9;6,2;188,8;95;5,9;170,7;85,1;41,5;2,45;72,1;60,8;;;;;;;
Lohmann Pink;Tint;52;96,6%;88,8;89,2;91,9;94,7;6,2;195,0;94;5,9;176,6;84,6;41,2;2,42;74,6;60,8;;;;;;;
Lohmann Pink;Tint;53;96,4%;88,4;88,9;91,7;94,4;6,2;201,2;94;5,8;182,4;84,0;40,9;2,39;77,0;60,8;;;;;;;
Lohmann Pink;Tint;54;96,3%;88,0;88,7;91,4;94,2;6,2;207,3;94;5,8;188,2;83,4;40,7;2,36;79,3;60,8;;;;;;;
Lohmann Pink;Tint;55;96,1%;87,6;88,4;91,1;93,9;6,1;213,4;94;5,8;194,0;82,9;40,4;2,33;81,6;60,9;;;;;;;
Lohmann Pink;Tint;56;95,9%;87,1;88,1;90,8;93,6;6,1;219,5;94;5,7;199,7;82,4;40,1;2,30;83,9;60,9;;;;;;;
Lohmann Pink;Tint;57;95,7%;86,6;87,8;90,5;93,2;6,1;225,6;94;5,7;205,4;81,8;39,9;2,27;86,2;60,9;;;;;;;
Lohmann Pink;Tint;58;95,5%;86,2;87,5;90,2;92,9;6,0;231,6;94;5,7;211,0;81,2;39,6;2,24;88,4;60,9;;;;;;;
Lohmann Pink;Tint;59;95,3%;85,7;87,2;89,9;92,6;6,0;237,6;94;5,6;216,6;80,7;39,3;2,21;90,7;60,9;;;;;;;
Lohmann Pink;Tint;60;95,1%;85,1;86,8;89,4;92,1;6,0;243,6;93;5,6;222,2;80,1;39,0;2,17;92,8;61,0;;;;;;;
Lohmann Pink;Tint;61;94,9%;84,5;86,3;89,0;91,7;5,9;249,5;93;5,5;227,7;79,5;38,7;2,14;95,0;61,0;;;;;;;
Lohmann Pink;Tint;62;94,7%;83,8;85,9;88,6;91,2;5,9;255,4;93;5,5;233,2;78,8;38,4;2,10;97,1;61,0;;;;;;;
Lohmann Pink;Tint;63;94,4%;83,2;85,5;88,1;90,7;5,8;261,2;93;5,4;238,6;78,3;38,1;2,06;99,1;61,0;;;;;;;
Lohmann Pink;Tint;64;94,2%;82,5;85,0;87,6;90,2;5,8;267,0;93;5,4;243,9;77,7;37,9;2,03;101,2;61,1;;;;;;;
Lohmann Pink;Tint;65;94,0%;81,8;84,5;87,1;89,7;5,7;272,7;92;5,3;249,2;77,1;37,6;1,99;103,1;61,1;;;;;;;
Lohmann Pink;Tint;66;93,7%;81,1;83,9;86,5;89,1;5,7;278,4;92;5,2;254,5;76,6;37,3;1,95;105,1;61,1;;;;;;;
Lohmann Pink;Tint;67;93,5%;80,3;83,4;86,0;88,5;5,6;284,0;92;5,2;259,6;76,0;37,0;1,91;107,0;61,1;;;;;;;
Lohmann Pink;Tint;68;93,2%;79,6;82,9;85,4;88,0;5,6;289,6;91;5,1;264,7;75,3;36,7;1,87;108,9;61,2;;;;;;;
Lohmann Pink;Tint;69;92,9%;78,8;82,3;84,8;87,4;5,5;295,1;91;5,0;269,7;74,8;36,4;1,83;110,7;61,2;;;;;;;
Lohmann Pink;Tint;70;92,6%;78,0;81,7;84,2;86,7;5,5;300,5;91;5,0;274,7;74,1;36,1;1,79;112,5;61,2;;;;;;;
Lohmann Pink;Tint;71;92,3%;77,2;81,1;83,6;86,2;5,4;306,0;91;4,9;279,6;73,5;35,8;1,75;114,2;61,2;;;;;;;
Lohmann Pink;Tint;72;92,0%;76,4;80,6;83,1;85,6;5,4;311,3;90;4,8;284,4;72,9;35,5;1,72;116,0;61,2;;;;;;;
Lohmann Pink;Tint;73;91,7%;75,7;80,0;82,5;85,0;5,3;316,6;90;4,8;289,2;72,3;35,2;1,68;117,6;61,2;;;;;;;
Lohmann Pink;Tint;74;91,4%;74,8;79,5;81,9;84,4;5,2;321,8;90;4,7;293,9;71,6;34,9;1,64;119,3;61,3;;;;;;;
Lohmann Pink;Tint;75;91,0%;74,1;79,0;81,4;83,8;5,2;327,0;89;4,6;298,5;71,1;34,6;1,60;120,9;61,3;;;;;;;
Lohmann Silver;Brown;20;100,0%;4,6;4,5;4,6;4,8;0,3;0,3;0;0,0;0,0;0,0;0,0;0,00;0,0;41,6;;;;;;;
Lohmann Silver;Brown;21;99,9%;24,9;24,2;24,9;25,7;1,7;2,1;0;0,0;0,0;0,0;0,0;0,00;0,0;45,2;;;;;;;
Lohmann Silver;Brown;22;99,9%;46,5;45,1;46,5;47,9;3,3;5,3;0;0,0;0,0;0,0;0,0;0,00;0,0;48,3;;;;;;;
Lohmann Silver;Brown;23;99,8%;64,5;62,7;64,7;66,6;4,5;9,8;50;2,3;2,3;64,2;31,3;0,71;0,7;50,7;;;;;;;
Lohmann Silver;Brown;24;99,7%;77,4;75,3;77,6;80,0;5,4;15,3;71;3,9;6,1;71,9;35,1;1,35;2,1;52,7;;;;;;;
Lohmann Silver;Brown;25;99,6%;85,0;82,7;85,3;87,8;5,9;21,2;83;4,9;11,1;75,5;36,8;1,82;3,9;54,4;;;;;;;
Lohmann Silver;Brown;26;99,6%;88,9;86,6;89,3;92,0;6,2;27,4;90;5,6;16,7;78,1;38,1;2,13;6,0;56,0;;;;;;;
Lohmann Silver;Brown;27;99,5%;90,5;88,2;91,0;93,7;6,3;33,8;93;5,9;22,6;79,6;38,8;2,29;8,3;57,1;;;;;;;
Lohmann Silver;Brown;28;99,4%;91,2;89,0;91,7;94,5;6,4;40,1;95;6,0;28,6;80,4;39,2;2,36;10,7;57,8;;;;;;;
Lohmann Silver;Brown;29;99,3%;91,5;89,3;92,1;94,9;6,4;46,5;95;6,1;34,7;80,9;39,4;2,40;13,1;58,3;;;;;;;
Lohmann Silver;Brown;30;99,2%;91,5;89,5;92,3;95,0;6,4;53,0;96;6,1;40,8;81,2;39,6;2,42;15,5;58,8;;;;;;;
Lohmann Silver;Brown;31;99,1%;91,4;89,4;92,2;95,0;6,4;59,4;96;6,1;47,0;81,4;39,7;2,43;17,9;59,2;;;;;;;
Lohmann Silver;Brown;32;99,1%;91,2;89,3;92,1;94,9;6,4;65,7;96;6,1;53,1;81,6;39,8;2,44;20,4;59,5;;;;;;;
Lohmann Silver;Brown;33;99,0%;91,1;89,3;92,0;94,8;6,4;72,1;96;6,1;59,2;81,7;39,8;2,44;22,8;59,8;;;;;;;
Lohmann Silver;Brown;34;98,9%;90,9;89,2;91,9;94,7;6,4;78,5;96;6,1;65,3;81,8;39,9;2,44;25,2;60,0;;;;;;;
Lohmann Silver;Brown;35;98,8%;90,7;89,1;91,8;94,6;6,3;84,8;96;6,1;71,4;81,9;39,9;2,43;27,7;60,2;;;;;;;
Lohmann Silver;Brown;36;98,7%;90,5;89,0;91,7;94,5;6,3;91,2;96;6,1;77,5;81,9;39,9;2,43;30,1;60,4;;;;;;;
Lohmann Silver;Brown;37;98,6%;90,3;88,9;91,6;94,4;6,3;97,5;96;6,1;83,6;81,9;39,9;2,42;32,5;60,6;;;;;;;
Lohmann Silver;Brown;38;98,5%;90,1;88,8;91,5;94,2;6,3;103,8;96;6,1;89,6;81,8;39,9;2,41;34,9;60,8;;;;;;;
Lohmann Silver;Brown;39;98,3%;89,9;88,6;91,4;94,1;6,3;110,1;96;6,0;95,6;81,7;39,8;2,40;37,3;60,9;;;;;;;
Lohmann Silver;Brown;40;98,2%;89,7;88,6;91,3;94,0;6,3;116,4;96;6,0;101,7;81,6;39,8;2,39;39,7;61,0;;;;;;;
Lohmann Silver;Brown;41;98,1%;89,4;88,4;91,2;93,9;6,3;122,6;96;6,0;107,7;81,5;39,7;2,38;42,1;61,1;;;;;;;
Lohmann Silver;Brown;42;98,0%;89,2;88,3;91,0;93,7;6,2;128,9;96;6,0;113,6;81,4;39,7;2,37;44,5;61,2;;;;;;;
Lohmann Silver;Brown;43;97,9%;88,9;88,1;90,8;93,5;6,2;135,1;96;5,9;119,6;81,3;39,6;2,36;46,8;61,2;;;;;;;
Lohmann Silver;Brown;44;97,7%;88,5;87,8;90,5;93,3;6,2;141,3;95;5,9;125,5;81,2;39,6;2,34;49,2;61,3;;;;;;;
Lohmann Silver;Brown;45;97,6%;88,1;87,5;90,2;92,9;6,2;147,4;95;5,9;131,4;81,0;39,5;2,32;51,5;61,3;;;;;;;
Lohmann Silver;Brown;46;97,5%;87,7;87,2;89,9;92,6;6,1;153,6;95;5,8;137,2;80,8;39,4;2,30;53,8;61,4;;;;;;;
Lohmann Silver;Brown;47;97,3%;87,2;86,9;89,6;92,2;6,1;159,7;95;5,8;143,0;80,4;39,2;2,28;56,1;61,4;;;;;;;
Lohmann Silver;Brown;48;97,2%;86,6;86,5;89,1;91,8;6,1;165,7;95;5,8;148,8;80,1;39,1;2,25;58,3;61,4;;;;;;;
Lohmann Silver;Brown;49;97,1%;86,1;86,1;88,7;91,4;6,0;171,8;95;5,7;154,5;79,7;38,9;2,22;60,6;61,4;;;;;;;
Lohmann Silver;Brown;50;96,9%;85,6;85,7;88,3;91,0;6,0;177,8;95;5,7;160,2;79,3;38,6;2,19;62,8;61,4;;;;;;;
Lohmann Silver;Brown;51;96,8%;85,0;85,2;87,9;90,5;5,9;183,7;95;5,6;165,8;78,8;38,4;2,16;64,9;61,5;;;;;;;
Lohmann Silver;Brown;52;96,6%;84,4;84,8;87,4;90,0;5,9;189,6;95;5,6;171,4;78,3;38,2;2,13;67,0;61,5;;;;;;;
Lohmann Silver;Brown;53;96,4%;83,9;84,3;87,0;89,6;5,9;195,5;94;5,5;176,9;77,8;37,9;2,10;69,2;61,5;;;;;;;
Lohmann Silver;Brown;54;96,3%;83,3;83,9;86,5;89,1;5,8;201,3;94;5,5;182,4;77,3;37,7;2,07;71,2;61,6;;;;;;;
Lohmann Silver;Brown;55;96,1%;82,7;83,5;86,1;88,6;5,8;207,1;94;5,5;187,9;76,8;37,4;2,04;73,3;61,6;;;;;;;
Lohmann Silver;Brown;56;95,9%;82,1;83,0;85,6;88,1;5,7;212,8;94;5,4;193,3;76,3;37,2;2,01;75,3;61,7;;;;;;;
Lohmann Silver;Brown;57;95,7%;81,4;82,5;85,1;87,6;5,7;218,5;94;5,4;198,7;75,8;37,0;1,98;77,3;61,7;;;;;;;
Lohmann Silver;Brown;58;95,5%;80,7;82,0;84,5;87,1;5,7;224,2;94;5,3;204,0;75,3;36,7;1,95;79,2;61,8;;;;;;;
Lohmann Silver;Brown;59;95,3%;80,1;81,5;84,0;86,5;5,6;229,8;94;5,3;209,2;74,8;36,5;1,92;81,1;61,8;;;;;;;
Lohmann Silver;Brown;60;95,1%;79,4;80,9;83,4;85,9;5,6;235,4;94;5,2;214,4;74,2;36,2;1,88;83,0;61,8;;;;;;;
Lohmann Silver;Brown;61;94,9%;78,6;80,4;82,8;85,3;5,5;240,9;93;5,1;219,6;73,7;35,9;1,85;84,9;61,9;;;;;;;
Lohmann Silver;Brown;62;94,7%;77,9;79,8;82,3;84,7;5,5;246,3;93;5,1;224,7;73,1;35,6;1,81;86,7;61,9;;;;;;;
Lohmann Silver;Brown;63;94,4%;77,2;79,3;81,7;84,2;5,4;251,7;93;5,0;229,7;72,6;35,4;1,78;88,4;61,9;;;;;;;
Lohmann Silver;Brown;64;94,2%;76,5;78,7;81,2;83,6;5,4;257,1;93;5,0;234,6;72,0;35,1;1,74;90,2;62,0;;;;;;;
Lohmann Silver;Brown;65;94,0%;75,7;78,2;80,6;83,0;5,3;262,4;93;4,9;239,6;71,5;34,9;1,71;91,9;62,0;;;;;;;
Lohmann Silver;Brown;66;93,7%;75,0;77,6;80,1;82,5;5,3;267,6;92;4,8;244,4;71,0;34,6;1,68;93,6;62,1;;;;;;;
Lohmann Silver;Brown;67;93,5%;74,2;77,1;79,4;81,8;5,2;272,8;92;4,8;249,2;70,5;34,3;1,64;95,2;62,1;;;;;;;
Lohmann Silver;Brown;68;93,2%;73,5;76,5;78,9;81,2;5,1;278,0;92;4,7;253,9;69,9;34,1;1,61;96,8;62,2;;;;;;;
Lohmann Silver;Brown;69;92,9%;72,7;75,9;78,3;80,6;5,1;283,1;91;4,6;258,5;69,4;33,8;1,57;98,4;62,2;;;;;;;
Lohmann Silver;Brown;70;92,6%;71,9;75,3;77,7;80,0;5,0;288,1;91;4,6;263,1;68,8;33,5;1,54;99,9;62,3;;;;;;;
Lohmann Silver;Brown;71;92,3%;71,2;74,8;77,1;79,4;5,0;293,1;91;4,5;267,6;68,2;33,2;1,50;101,4;62,3;;;;;;;
Lohmann Silver;Brown;72;92,0%;70,4;74,2;76,5;78,8;4,9;298,0;90;4,5;272,1;67,6;33,0;1,47;102,9;62,3;;;;;;;
Lohmann Silver;Brown;73;91,7%;69,6;73,7;75,9;78,2;4,9;302,9;90;4,4;276,5;67,1;32,7;1,44;104,3;62,4;;;;;;;
Lohmann Silver;Brown;74;91,4%;68,8;73,1;75,3;77,6;4,8;307,7;90;4,3;280,8;66,5;32,4;1,40;105,7;62,4;;;;;;;
Lohmann Silver;Brown;75;91,0%;68,0;72,5;74,7;77,0;4,8;312,4;89;4,3;285,1;66,0;32,2;1,37;107,1;62,4;;;;;;;
Lohmann Silver;Brown;20;100,0%;4,6;4,5;4,6;4,8;0,3;0,3;0;0,0;0,0;0,0;0,0;0,00;0,0;41,6;;;;;;;
Lohmann Silver;Brown;21;99,9%;24,9;24,2;24,9;25,7;1,7;2,1;0;0,0;0,0;0,0;0,0;0,00;0,0;45,2;;;;;;;
Lohmann Silver;Brown;22;99,9%;46,5;45,1;46,5;47,9;3,3;5,3;0;0,0;0,0;0,0;0,0;0,00;0,0;48,3;;;;;;;
Lohmann Silver;Brown;23;99,8%;64,5;62,7;64,7;66,6;4,5;9,8;50;2,3;2,3;64,2;31,3;0,71;0,7;50,7;;;;;;;
Lohmann Silver;Brown;24;99,7%;77,4;75,3;77,6;80,0;5,4;15,3;71;3,9;6,1;71,9;35,1;1,35;2,1;52,7;;;;;;;
Lohmann Silver;Brown;25;99,6%;85,0;82,7;85,3;87,8;5,9;21,2;83;4,9;11,1;75,5;36,8;1,82;3,9;54,4;;;;;;;
Lohmann Silver;Brown;26;99,6%;88,9;86,6;89,3;92,0;6,2;27,4;90;5,6;16,7;78,1;38,1;2,13;6,0;56,0;;;;;;;
Lohmann Silver;Brown;27;99,5%;90,5;88,2;91,0;93,7;6,3;33,8;93;5,9;22,6;79,6;38,8;2,29;8,3;57,1;;;;;;;
Lohmann Silver;Brown;28;99,4%;91,2;89,0;91,7;94,5;6,4;40,1;95;6,0;28,6;80,4;39,2;2,36;10,7;57,8;;;;;;;
Lohmann Silver;Brown;29;99,3%;91,5;89,3;92,1;94,9;6,4;46,5;95;6,1;34,7;80,9;39,4;2,40;13,1;58,3;;;;;;;
Lohmann Silver;Brown;30;99,2%;91,5;89,5;92,3;95,0;6,4;53,0;96;6,1;40,8;81,2;39,6;2,42;15,5;58,8;;;;;;;
Lohmann Silver;Brown;31;99,1%;91,4;89,4;92,2;95,0;6,4;59,4;96;6,1;47,0;81,4;39,7;2,43;17,9;59,2;;;;;;;
Lohmann Silver;Brown;32;99,1%;91,2;89,3;92,1;94,9;6,4;65,7;96;6,1;53,1;81,6;39,8;2,44;20,4;59,5;;;;;;;
Lohmann Silver;Brown;33;99,0%;91,1;89,3;92,0;94,8;6,4;72,1;96;6,1;59,2;81,7;39,8;2,44;22,8;59,8;;;;;;;
Lohmann Silver;Brown;34;98,9%;90,9;89,2;91,9;94,7;6,4;78,5;96;6,1;65,3;81,8;39,9;2,44;25,2;60,0;;;;;;;
Lohmann Silver;Brown;35;98,8%;90,7;89,1;91,8;94,6;6,3;84,8;96;6,1;71,4;81,9;39,9;2,43;27,7;60,2;;;;;;;
Lohmann Silver;Brown;36;98,7%;90,5;89,0;91,7;94,5;6,3;91,2;96;6,1;77,5;81,9;39,9;2,43;30,1;60,4;;;;;;;
Lohmann Silver;Brown;37;98,6%;90,3;88,9;91,6;94,4;6,3;97,5;96;6,1;83,6;81,9;39,9;2,42;32,5;60,6;;;;;;;
Lohmann Silver;Brown;38;98,5%;90,1;88,8;91,5;94,2;6,3;103,8;96;6,1;89,6;81,8;39,9;2,41;34,9;60,8;;;;;;;
Lohmann Silver;Brown;39;98,3%;89,9;88,6;91,4;94,1;6,3;110,1;96;6,0;95,6;81,7;39,8;2,40;37,3;60,9;;;;;;;
Lohmann Silver;Brown;40;98,2%;89,7;88,6;91,3;94,0;6,3;116,4;96;6,0;101,7;81,6;39,8;2,39;39,7;61,0;;;;;;;
Lohmann Silver;Brown;41;98,1%;89,4;88,4;91,2;93,9;6,3;122,6;96;6,0;107,7;81,5;39,7;2,38;42,1;61,1;;;;;;;
Lohmann Silver;Brown;42;98,0%;89,2;88,3;91,0;93,7;6,2;128,9;96;6,0;113,6;81,4;39,7;2,37;44,5;61,2;;;;;;;
Lohmann Silver;Brown;43;97,9%;88,9;88,1;90,8;93,5;6,2;135,1;96;5,9;119,6;81,3;39,6;2,36;46,8;61,2;;;;;;;
Lohmann Silver;Brown;44;97,7%;88,5;87,8;90,5;93,3;6,2;141,3;95;5,9;125,5;81,2;39,6;2,34;49,2;61,3;;;;;;;
Lohmann Silver;Brown;45;97,6%;88,1;87,5;90,2;92,9;6,2;147,4;95;5,9;131,4;81,0;39,5;2,32;51,5;61,3;;;;;;;
Lohmann Silver;Brown;46;97,5%;87,7;87,2;89,9;92,6;6,1;153,6;95;5,8;137,2;80,8;39,4;2,30;53,8;61,4;;;;;;;
Lohmann Silver;Brown;47;97,3%;87,2;86,9;89,6;92,2;6,1;159,7;95;5,8;143,0;80,4;39,2;2,28;56,1;61,4;;;;;;;
Lohmann Silver;Brown;48;97,2%;86,6;86,5;89,1;91,8;6,1;165,7;95;5,8;148,8;80,1;39,1;2,25;58,3;61,4;;;;;;;
Lohmann Silver;Brown;49;97,1%;86,1;86,1;88,7;91,4;6,0;171,8;95;5,7;154,5;79,7;38,9;2,22;60,6;61,4;;;;;;;
Lohmann Silver;Brown;50;96,9%;85,6;85,7;88,3;91,0;6,0;177,8;95;5,7;160,2;79,3;38,6;2,19;62,8;61,4;;;;;;;
Lohmann Silver;Brown;51;96,8%;85,0;85,2;87,9;90,5;5,9;183,7;95;5,6;165,8;78,8;38,4;2,16;64,9;61,5;;;;;;;
Lohmann Silver;Brown;52;96,6%;84,4;84,8;87,4;90,0;5,9;189,6;95;5,6;171,4;78,3;38,2;2,13;67,0;61,5;;;;;;;
Lohmann Silver;Brown;53;96,4%;83,9;84,3;87,0;89,6;5,9;195,5;94;5,5;176,9;77,8;37,9;2,10;69,2;61,5;;;;;;;
Lohmann Silver;Brown;54;96,3%;83,3;83,9;86,5;89,1;5,8;201,3;94;5,5;182,4;77,3;37,7;2,07;71,2;61,6;;;;;;;
Lohmann Silver;Brown;55;96,1%;82,7;83,5;86,1;88,6;5,8;207,1;94;5,5;187,9;76,8;37,4;2,04;73,3;61,6;;;;;;;
Lohmann Silver;Brown;56;95,9%;82,1;83,0;85,6;88,1;5,7;212,8;94;5,4;193,3;76,3;37,2;2,01;75,3;61,7;;;;;;;
Lohmann Silver;Brown;57;95,7%;81,4;82,5;85,1;87,6;5,7;218,5;94;5,4;198,7;75,8;37,0;1,98;77,3;61,7;;;;;;;
Lohmann Silver;Brown;58;95,5%;80,7;82,0;84,5;87,1;5,7;224,2;94;5,3;204,0;75,3;36,7;1,95;79,2;61,8;;;;;;;
Lohmann Silver;Brown;59;95,3%;80,1;81,5;84,0;86,5;5,6;229,8;94;5,3;209,2;74,8;36,5;1,92;81,1;61,8;;;;;;;
Lohmann Silver;Brown;60;95,1%;79,4;80,9;83,4;85,9;5,6;235,4;94;5,2;214,4;74,2;36,2;1,88;83,0;61,8;;;;;;;
Lohmann Silver;Brown;61;94,9%;78,6;80,4;82,8;85,3;5,5;240,9;93;5,1;219,6;73,7;35,9;1,85;84,9;61,9;;;;;;;
Lohmann Silver;Brown;62;94,7%;77,9;79,8;82,3;84,7;5,5;246,3;93;5,1;224,7;73,1;35,6;1,81;86,7;61,9;;;;;;;
Lohmann Silver;Brown;63;94,4%;77,2;79,3;81,7;84,2;5,4;251,7;93;5,0;229,7;72,6;35,4;1,78;88,4;61,9;;;;;;;
Lohmann Silver;Brown;64;94,2%;76,5;78,7;81,2;83,6;5,4;257,1;93;5,0;234,6;72,0;35,1;1,74;90,2;62,0;;;;;;;
Lohmann Silver;Brown;65;94,0%;75,7;78,2;80,6;83,0;5,3;262,4;93;4,9;239,6;71,5;34,9;1,71;91,9;62,0;;;;;;;
Lohmann Silver;Brown;66;93,7%;75,0;77,6;80,1;82,5;5,3;267,6;92;4,8;244,4;71,0;34,6;1,68;93,6;62,1;;;;;;;
Lohmann Silver;Brown;67;93,5%;74,2;77,1;79,4;81,8;5,2;272,8;92;4,8;249,2;70,5;34,3;1,64;95,2;62,1;;;;;;;
Lohmann Silver;Brown;68;93,2%;73,5;76,5;78,9;81,2;5,1;278,0;92;4,7;253,9;69,9;34,1;1,61;96,8;62,2;;;;;;;
Lohmann Silver;Brown;69;92,9%;72,7;75,9;78,3;80,6;5,1;283,1;91;4,6;258,5;69,4;33,8;1,57;98,4;62,2;;;;;;;
Lohmann Silver;Brown;70;92,6%;71,9;75,3;77,7;80,0;5,0;288,1;91;4,6;263,1;68,8;33,5;1,54;99,9;62,3;;;;;;;
Lohmann Silver;Brown;71;92,3%;71,2;74,8;77,1;79,4;5,0;293,1;91;4,5;267,6;68,2;33,2;1,50;101,4;62,3;;;;;;;
Lohmann Silver;Brown;72;92,0%;70,4;74,2;76,5;78,8;4,9;298,0;90;4,5;272,1;67,6;33,0;1,47;102,9;62,3;;;;;;;
Lohmann Silver;Brown;73;91,7%;69,6;73,7;75,9;78,2;4,9;302,9;90;4,4;276,5;67,1;32,7;1,44;104,3;62,4;;;;;;;
Lohmann Silver;Brown;74;91,4%;68,8;73,1;75,3;77,6;4,8;307,7;90;4,3;280,8;66,5;32,4;1,40;105,7;62,4;;;;;;;
Lohmann Silver;Brown;75;91,0%;68,0;72,5;74,7;77,0;4,8;312,4;89;4,3;285,1;66,0;32,2;1,37;107,1;62,4;;;;;;;
